Country,Year,Activity_,RMovement
USA,1962,playing,1
SPAIN,2014,playing,1
JAPAN,1992,preparing,1
USA,1956,removing,1
THAILAND,2005,removing,1
BRAZIL,2007,removing,1
VIETNAM,2010,rescuing,1
SOUTH ATLANTIC OCEAN,1941,rescuing,1
PANAMA,1953,retrieving,1
AUSTRALIA,1928,retrieving,1
SOUTH AFRICA,1988,returning,2
USA,2007,reviving,1
ST. MARTIN,2014,rowing,2
SCOTLAND,1937,rowing,2
UNITED KINGDOM,2008,rowing,2
ITALY,1942,sculling,3
USA,1974,sinking,1
FRENCH POLYNESIA,2015,sitting,1
SOUTH AFRICA,2016,skiing,3
AUSTRALIA,2012,skiing,3
SOUTH AFRICA,2008,skiing,3
SOUTH AFRICA,2002,skiing,3
AUSTRALIA,2003,skiing,3
CHILE,1988,skindiving,2
SENEGAL,1956,skindiving,2
FIJI,1995,sleeping,1
FIJI,1997,snorkeling,1
AUSTRALIA,2016,snorkeling,1
AUSTRALIA,2010,snorkeling,1
SOUTH AFRICA,2002,snorkeling,1
SOUTH AFRICA,2002,snorkeling,1
AUSTRALIA,2011,snorkeling,1
MALAYSIA,2011,snorkeling,1
TURKS & CAICOS,2002,snorkeling,1
TURKS & CAICOS,2011,snorkeling,1
MEXICO,2017,snorkeling,1
EGYPT,2010,snorkeling,1
"ST HELENA, British overseas territory",2017,snorkeling,1
EGYPT,2010,snorkeling,1
SOUTH AFRICA,1998,snorkeling,1
BAHAMAS,2015,snorkeling,1
AUSTRALIA,2017,snorkeling,1
EGYPT,2010,snorkeling,1
EGYPT,2010,snorkeling,1
NEW CALEDONIA,2015,snorkeling,1
BAHAMAS,2017,snorkeling,1
EGYPT,2017,snorkeling,1
AUSTRALIA,2010,snorkeling,1
NEW ZEALAND,1992,snorkeling,1
BAHAMAS,1992,snorkeling,1
AUSTRALIA,2012,snorkeling,1
EGYPT,2010,snorkeling,1
ECUADOR,2015,snorkeling,1
BAHAMAS,1981,snorkeling,1
NEW ZEALAND,2003,snorkeling,1
AUSTRALIA,2005,snorkeling,1
AUSTRALIA,2013,snorkeling,1
AUSTRALIA,2008,snorkeling,1
EGYPT,2003,snorkeling,1
BAHAMAS,1987,snorkeling,1
VANUATU,2004,snorkeling,1
ECUADOR,2018,snorkeling,1
EGYPT,2009,snorkeling,1
EGYPT,2004,snorkeling,1
NEW CALEDONIA,2013,snorkeling,1
FIJI,1964,spearfishing,1
PHILIPPINES,2017,spearfishing,1
AUSTRALIA,2015,spearfishing,1
NEW BRITAIN,1965,spearfishing,1
BAHAMAS,2007,spearfishing,1
SOUTH AFRICA,1986,spearfishing,1
BRAZIL,1999,spearfishing,1
NEW ZEALAND,2007,spearfishing,1
NEW CALEDONIA,2007,spearfishing,1
BRAZIL,1999,spearfishing,1
AUSTRALIA,1974,spearfishing,1
SOUTH AFRICA,1983,spearfishing,1
AUSTRALIA,1965,spearfishing,1
SOUTH AFRICA,1986,spearfishing,1
AUSTRALIA,1950,spearfishing,1
BAHAMAS,1999,spearfishing,1
FIJI,1964,spearfishing,1
MOZAMBIQUE,1973,spearfishing,1
CROATIA,2008,spearfishing,1
MOZAMBIQUE,1973,spearfishing,1
SOLOMON ISLANDS,2007,spearfishing,1
FIJI,1959,spearfishing,1
AUSTRALIA,2014,spearfishing,1
NEW CALEDONIA,2016,spearfishing,1
SOUTH AFRICA,1974,spearfishing,1
SOUTH AFRICA,1986,spearfishing,1
SOUTH AFRICA,1994,spearfishing,1
BAHAMAS,1983,spearfishing,1
SOUTH AFRICA,1975,spearfishing,1
SOUTH AFRICA,1994,spearfishing,1
BAHAMAS,1983,spearfishing,1
SOUTH AFRICA,1986,spearfishing,1
BAHAMAS,2016,spearfishing,1
BAHAMAS,2014,spearfishing,1
AUSTRALIA,1975,spearfishing,1
SOUTH AFRICA,1993,spearfishing,1
AUSTRALIA,2014,spearfishing,1
USA,2000,spearfishing,1
BAHAMAS,1993,spearfishing,1
SOUTH AFRICA,1994,spearfishing,1
SRI LANKA,1950,spearfishing,1
NEW CALEDONIA,2000,spearfishing,1
AUSTRALIA,1936,spearfishing,1
BAHAMAS,1994,spearfishing,1
BAHAMAS,1983,spearfishing,1
EGYPT,1965,spearfishing,1
AUSTRALIA,1954,spearfishing,1
MEXICO,1984,spearfishing,1
BAHAMAS,1968,spearfishing,1
PAPUA NEW GUINEA,1949,spearfishing,1
SOUTH AFRICA,1997,spearfishing,1
USA,1998,spearfishing,1
PALAU,1970,spearfishing,1
TONGA,1958,spearfishing,1
SOUTH AFRICA,1984,spearfishing,1
SOUTH AFRICA,2005,spearfishing,1
USA,1958,spearfishing,1
PAPUA NEW GUINEA,1958,spearfishing,1
CUBA,2009,spearfishing,1
NEW CALEDONIA,2011,spearfishing,1
BAHAMAS,1997,spearfishing,1
NEW CALEDONIA,1985,spearfishing,1
PAPUA NEW GUINEA,1948,spearfishing,1
CROATIA,1970,spearfishing,1
SPAIN,1970,spearfishing,1
SOUTH AFRICA,1985,spearfishing,1
BAHAMAS,2007,spearfishing,1
FRENCH POLYNESIA,2015,spearfishing,1
CUBA,2009,spearfishing,1
FRENCH POLYNESIA,1972,spearfishing,1
SOUTH AFRICA,1999,spearfishing,1
REUNION,1999,spearfishing,1
SOUTH AFRICA,1967,spearfishing,1
MOZAMBIQUE,2008,spearfishing,1
AUSTRALIA,1966,spearfishing,1
NEW CALEDONIA,1999,spearfishing,1
USA,1966,spearfishing,1
PAPUA NEW GUINEA,1956,spearfishing,1
MAURITIUS,1999,spearfishing,1
PAPUA NEW GUINEA,1967,spearfishing,1
SOUTH AFRICA,1984,spearfishing,1
AUSTRALIA,2005,spearfishing,1
PAPUA NEW GUINEA,1967,spearfishing,1
BAHAMAS,1958,spearfishing,1
AUSTRALIA,1967,spearfishing,1
SOUTH AFRICA,1998,spearfishing,1
PAPUA NEW GUINEA,1956,spearfishing,1
BAHAMAS,1998,spearfishing,1
USA,1998,spearfishing,1
PAPUA NEW GUINEA,1956,spearfishing,1
TURKEY,1967,spearfishing,1
TURKS & CAICOS,2011,spearfishing,1
COLUMBIA,2011,spearfishing,1
SENEGAL,1998,spearfishing,1
AUSTRALIA,1959,spearfishing,1
BAHAMAS,2006,spearfishing,1
BAHAMAS,2009,spearfishing,1
PAPUA NEW GUINEA,1960,spearfishing,1
SOUTH AFRICA,1979,spearfishing,1
GUAM,2009,spearfishing,1
SOUTH AFRICA,1990,spearfishing,1
PORTUGAL,1979,spearfishing,1
TONGA,1980,spearfishing,1
BAHAMAS,2009,spearfishing,1
PAPUA NEW GUINEA,1962,spearfishing,1
SOUTH AFRICA,1988,spearfishing,1
BAHAMAS,1990,spearfishing,1
PAPUA NEW GUINEA,1955,spearfishing,1
PAPUA NEW GUINEA,1962,spearfishing,1
AUSTRALIA,2018,spearfishing,1
UNITED ARAB EMIRATES,2017,spearfishing,1
NEW CALEDONIA,2002,spearfishing,1
NEW CALEDONIA,2018,spearfishing,1
PANAMA,1960,spearfishing,1
MOZAMBIQUE,2009,spearfishing,1
SOUTH AFRICA,1978,spearfishing,1
FRENCH POLYNESIA,2012,spearfishing,1
SOUTH AFRICA,1991,spearfishing,1
JAMAICA,2013,spearfishing,1
AUSTRALIA,2013,spearfishing,1
FRENCH POLYNESIA,2016,spearfishing,1
BAHAMAS,1989,spearfishing,1
CUBA,1954,spearfishing,1
NEW ZEALAND,2013,spearfishing,1
CUBA,1954,spearfishing,1
AUSTRALIA,1961,spearfishing,1
ITALY,1954,spearfishing,1
AUSTRALIA,2013,spearfishing,1
FRENCH POLYNESIA,2016,spearfishing,1
USA,1989,spearfishing,1
SOUTH AFRICA,1961,spearfishing,1
COLUMBIA,1955,spearfishing,1
KENYA,1980,spearfishing,1
SOUTH AFRICA,2008,spearfishing,1
AUSTRALIA,1961,spearfishing,1
AUSTRALIA,1960,spearfishing,1
BAHAMAS,2008,spearfishing,1
AUSTRALIA,2014,spearfishing,1
BAHAMAS,2003,spearfishing,1
BERMUDA,1961,spearfishing,1
REUNION,1980,spearfishing,1
USA,1954,spearfishing,1
AUSTRALIA,1954,spearfishing,1
ITALY,1961,spearfishing,1
BAHAMAS,2003,spearfishing,1
SOUTH AFRICA,1977,spearfishing,1
AUSTRALIA,1960,spearfishing,1
FEDERATED STATES OF MICRONESIA,1963,spearfishing,1
