Country,Area,Location,Activity,Age,Fatal?,Species,Year
BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,13,N,,1983
USA,Florida,"Riviera Beach, Palm Beach County",Floating on air mattress,17,N,,1983
USA,Florida,"Off 12th Street, Miami Beach",Swimming,42,N,,1983
BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",Spearfishing,15,Y,,1983
USA,Florida,"Cocoa Beach, Brevard County",Surfing & dangling foot in water amid baitfish,21,N,,1983
BAHAMAS,Berry Islands,Whale Cay,Spearfishing,,N,Caribbean reef shark,1983
USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,21,N,6' shark,1983
USA,Florida," Riviera Beach, Palm Beach County",Surfing,15,N,,1983
USA,Florida,"Haulover Inlet, Dade County",Surfing,22,N,,1983
SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Fishing,27,N,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",1983
USA,Florida,"Lake Worth Beach, Palm Beach County",Surfing,16,N,,1983
SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,17,N,1.8 m [6'] Zambezi shark,1983
SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,,N,Blacktip or spinner shark,1983
SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,16,N,3 m [10'] shark,1983
USA,South Carolina,60 miles southeast of Beaufort,Fishing,43,N,,1983
SOUTH AFRICA,Western Cape Province,Muizenberg,Windsurfing,22,N,,1983
SOUTH AFRICA,Western Cape Province,Holbaai,Spearfishing,32,N,White shark,1983
USA,Florida,North Dade- Interama area of Biscayne Bay,Windsurfing,26,N,1.5 m [5'] shark,1982
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,N,,1982
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,16,N,"Believed to involve a 2.8 m [9'3""] white shark",1982
USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,20,N,1.5 m [5'] shark,1982
USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,36,N,White shark,1982
USA,California,"Bear Harbor, Mendocino County",Free diving for abalone from Zodiac (submerged),28,N,5 m to 6 m [16.5' to 20'] white shark,1982
USA,California,"Morro Rock, Morro Bay, San Obispo County",Surfing,17,U,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,1982
SOUTH AFRICA,Western Cape Province,Langebaan,Swimming,18,N,,1982
SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,20,U,Invalid,1982
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Paddleskiing,38,N,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",1982
USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,26,N,4.5 m to 5.5 m [14.7' to 18'] white shark,1982
USA,Florida,"Stuart Beach, Martin County ",Swimming,17,N,0.9 m to 1.2 m [3' to 4'] shark,1982
USA,California,"Malibu, Los Angeles County",Swimming,43,U,"Reported as a shark attack, the story was a hoax",1982
USA,Florida,"Daytona Beach, Volusia County",Swimming,19,N,,1982
SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,27,Y,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",1982
USA,South Carolina,"Isle of Palms, Charleston County",Swimming,20,N,5' shark,1982
BAHAMAS,Andros Islands,North Rat Cay Reef,Spearfishing ,19,N,"Lemon shark, 2 m [6'9""]",1982
USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui","Sailboarding, fell into water 100 yards outside the breakwater",,N,"1.2 m to 1.5 m [4' to 5'] ""reef shark""",1982
USA,Florida,"Palm Beach, Palm Beach County",Surfing,16,N,,1982
AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,20,Y,,1982
AUSTRALIA,Tasmania,South Cape Bay,Spearfishing,32,Y,5.5 m [18''] white shark,1982
USA,Florida,"Hobe Sound, Palm Beach County",Surfing,18,N,4' to 5' shark,1982
USA,Florida,"Palm Beach, Palm Beach County",Swimming,75,Y,,1982
USA,California,"Stillwater Cove, Sonoma County",Scuba diving (submerged),,N,5 m [16.5'] white shark,1982
USA,Florida,Elliot Key,Diving,29,Y,,1982
SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Swimming,20,N,Raggedtooth shark,1982
ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",Boat,,U,6 m [20'] white shark,1982
ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",Fishing on a boat,,N,White shark,1982
USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",Surfing,24,Y,7 m [23'] white shark,1981
USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu","Spearfishing, but swimming on surface",,N,"Tiger shark, 3.7 m [12']",1981
SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,,N,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark",1981
USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,59,N,"2.1 m [7'] shark with ""a very flat head that had followed the boat for 3 days",1981
USA,Florida,"Jupiter Island, Brevard County",Swimming,19,N,1.8 m to 2.4 m [6' to 8'] shark,1981
USA,Florida,"Cocoa Beach, Brevard County",Surfing,17,N,,1981
USA,Florida,"Playalinda Beach, Brevard County",Surfing,24,N,6' shark,1981
USA,Florida,"Cocoa Beach, Brevard County",Surfing,28,N,,1981
USA,Florida,"Tampa Bay, Manatee County",Swimming,26,Y,Said to involve a tiger shark or a hammerhead shark,1981
USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,25,N,,1981
USA,Florida,"Cocoa Beach, Brevard County",Surfing,24,N,,1981
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,N,6' shark,1981
USA,Florida,Gulf Island National Seashore Park,Spearfishing,19,N,"1.8 m [6'] shark, species identity questionable",1981
USA,Florida,"Marathon, Monroe County",Diving,,N,small nurse shark,1981
USA,Florida,"Ormond Beach / Daytona Beach, Volusia County","16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",19,Y,,1981
BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Snorkeling on surface,53,N,Mako shark (tooth fragments recovered),1981
USA,Florida,"St. Petersburg Beach, Pinellas County",Swimming,16,N,"""sandshark""",1981
SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,32,N,Possibly a  1.8 m [6'] Zambezi shark,1981
USA,Florida,Carter Cay,Spearfishing,,N,2.4 m [8'] shark,1981
SOUTH AFRICA,KwaZulu-Natal,Clansthal,Catching sardines,,N,"""gray shark""",1981
SOUTH KOREA,Chungnam,Wae-yeon Island,Shell diving,27,Y,6 m  white shark,1981
SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,27,N,Raggedtooth shark,1981
USA,Florida,"Sands Cut, Elliot Key",Free diving,32,N,,1981
USA,Florida,"Jacksonville, Duval County",Diving,,N,Lemon shark,1981
SOUTH AFRICA,Eastern Cape Province,Kings Beach,Surfing,19,N,"Raggedtooth shark, 2.5 m [8.25'] ",1981
SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,Surfing,24,N,"Tiger shark, 2.1 m [7']",1981
USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,19,N,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",1981
USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,24,N,C. maculpinnis or C. limbatus,1981
CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Free diving Spearfishing,,N,White shark,1981
BRAZIL,Rio de Janeiro,Cabo Frio,Diving,,U,White shark,1981
SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,30,N,Juvenile dusky or blacktip shark,1981
AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,,N,1 m hammerhead shark,1981
USA,Florida,"Juno Beach, Palm Beach County",Surfing,15,N,1.8 m to 2.4 m [6' to 8'] hammerhead shark,1981
USA,Florida,20 miles from Mayport,Commercial spearfishing,25,N,Tiger shark,1981
SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,23,U,Shark involvement prior to death was not confirmed,1981
AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,27,N,"Tiger shark, 2.5 m ",1981
SOUTH AFRICA,Eastern Cape Province,Nahoon,Paddleskiing,25,N,3.5 m [11.5'] shark,1980
REUNION,Grand'Anse,Petite-Ile,Spearfishing,22,N,1.8 m [6'] white shark,1980
BRAZIL,Pernambuco,Piedade,Swimming,16,Y,,1980
USA,Oregon,Off Umpqua River,Surfing,29,N,4 m to 5 m [13' to 16.5'] white shark,1980
USA,California,"Moonstone Beach, Humboldt County",Surfing,19,N,4 m to 5 m [13' to 16.5'] white shark,1980
USA,North Carolina,"Ocean Isle, Brunswick County",Wading,10,N,,1980
USA,Hawaii,"Puamana, Lahaina, Maui",Resting on body board,,N,"Tiger shark, 4.3 m [14'] ",1980
SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife",Skin diving,,N,Blue shark,1980
USA,New Jersey,"Ocean City, Cape May County",Body surfing,15,N,,1980
USA,Delaware,Dewey Beach,Standing,22,N,4' to 8' shark,1980
USA,California,"Off San Clemente Island, Los Angeles County",Scuba diving,44,N,Blue shark,1980
SOUTH AFRICA,Eastern Cape Province,Fullers Bay,Surfing,22,N,1.8 m [6'] shark,1980
MEXICO,Sinaloa,Mazatlán,Body surfing,13,N,Tiger shark,1980
SOUTH AFRICA,KwaZulu-Natal,Umdhloti,Free diving,52,Y,Tiger shark,1980
BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,,N,2 m shark,1980
SOUTH AFRICA,Western Cape Province,Velddrif,Fishing,61,N,1.5 m [5'] hammerhead shark,1980
SOUTH AFRICA,KwaZulu-Natal,Ballito,Body boarding,24,N,"2.8 m [9'3""] white shark",1980
KENYA,Lamu Archipelago,South of Lamu Island,Spearfishing,29,N,2.2 m shark,1980
SOUTH AFRICA,KwaZulu-Natal,Ansteys,Spearfishing,29,N,"2 m [6'9""] Zambesi shark",1980
SOUTH AFRICA,Eastern Cape Province,Sardinia Bay,Swimming,,N,Hammerhead shark,1980
SOUTH AFRICA,Eastern Cape Province,Kings Beach,Swimming,25,N,"Raggedtooth shark, 2 m [6'9""] ",1980
CHILE,Los Vilos,"Punta Negra, Pichidangui",Hookah Diving,,Y,White shark,1980
NORTH ATLANTIC OCEAN,,Onboard swordfish trawler,Gaffing netted shark,34,N,1.8 m [6'] dogfish,1980
SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Spearfishing,20,U,Invalid,1980
TONGA,Ha'api,Ha'ano Island,Spearfishing,20s,N,,1980
SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,Swimming,18,N,,1979
PORTUGAL,Madeira Islands,"Sao Jorge, Madeira Island",Spearfishing,19,Y,White shark?,1979
USA,Oregon,"Haystack Rock, Cannon Beach, Clatsop County",Surfing,20,N,"White shark, 4 m [13'] ",1979
SOUTH AFRICA,Western Cape Province,Macassar,Shark fishing,,N,"White shark, 5 m ",1979
SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Fishing,,N,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",1979
AUSTRALIA,New South Wales,Byron Bay,Scuba diving,18,N,"""a small shark""",1979
USA,Florida,"Daytona Beach, Volusia County",Kayaking,49,N,,1979
USA,Florida,10 miles off Cape Canaveral,Floating with life preserver after his boat foundered,56,N,,1979
USA,Florida,"Fort Walton Beach, Okaloosa County",Scuba diving,36,U,Shark involvement prior to death was not confirmed,1979
SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay",Spearfishing,25,N,"White shark, 2.5 m [8.25']  ",1979
USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County",Swimming,24,N,,1979
USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County",Body surfing,8,N,,1979
USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,27,N,Blacktip or spinner shark,1979
USA,California,"Ano Nuevo Island, San Mateo, County",Scuba diving (submerged),,N,"White shark, 4 m to 5 m [13' to 16.5'] ",1979
SOUTH AFRICA,Eastern Cape Province,Port Alfred,"Surfing, collided with shark",19,N,1.5 m to 2 m [5' to 6.75'] shark,1979
SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,23,Y,"White shark, 2.3 m [7.5'], tooth fragment recovered",1978
USA,Hawaii,"Ewa, O'ahu",Surfing,,N,2.4 m [8'] shark,1978
USA,Florida,"Jupiter, Palm Beach County",Surfing,17,N,,1978
SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",Spearfishing,27,N,"White shark, 3.7 m [12'] ",1978
ITALY,Tyrrhenian Sea,Capo d'Anzio,Diving,,N,"White shark, 5 m [16.5'] ",1978
AUSTRALIA,Tasmania,"Cape Pillar, Storm Bay",Scuba diving for abalone,34,N,15' shark,1978
USA,California,"Pajaro Dunes, Santa Cruz County",Wading,,N,"2 m [6'9""] shark",1978
USA,Florida,Florida Straits,Floating on inner tube raft,27,N,,1978
USA,California,"Newport Beach, Orange County",Fishing,27,N,,1978
USA,Florida,"South of Neptune Beach, Duval County",Surfing,20,N,,1978
USA,Florida,"Neptune Beach, Duval County",Surfing,17,N,,1978
MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,Diving,25,N,,1978
MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,Diving,23,N,,1978
AUSTRALIA,Tasmania,Beechford,Scuba diving,,N,"Sevengill shark, 2.4 m",1978
SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Fishing for mackerel,,N,270 kg shark,1978
SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay",Diving,,N,White shark,1978
SOUTH AFRICA,KwaZulu-Natal,Glenashley,Surfing,17,N,Thought to involve a blacktip shark,1978
USA,Hawaii,2 miles off Keahole Airport,"Swimming, after single-engine aircraft went down in the sea",49,N,,1977
USA,Florida,"Hobe Sound, Palm Beach County",Surfing,27,N,,1977
SOUTH AFRICA,Eastern Cape Province,Qolera River,Surfing,18,N,"Tiger shark, 3 m [10']",1977
SOUTH AFRICA,Western Cape Province,"Macassar, False Bay",Fishing for bottom fish,,N,3 m [10'] white shark (Tooth  recovered from boat),1977
SOUTH AFRICA,Western Cape Province,Klein River Lagoon,Standing,,N,1.5 to 2 m [5' to 6.75'] shark,1977
SOUTH AFRICA,Western Cape Province,"Bluegums Rock, Partridge Point",Spearfishing,25,N,"White shark, 5 m [16.5'] ",1977
AUSTRALIA,South Australia,"Cactus Beach, near Ceduna",Surfing,17,N,White shark,1977
AUSTRALIA,Queensland,"Buddina Beach, south of Noosa",Floating on an inflatable raft,25,Y,,1977
SOUTH AFRICA,Western Cape Province,Off Macassar Beach,Fishing,,N,White shark,1977
USA,California,"McClure Beach, near Tomales Point, Marin County",Free diving for abalone (surfacing),20,N,"White shark, 5.5 m to 6 m [18' to 20']  ",1977
USA,Florida,"St. Petersburg, Pinellas County",Wading,17,U,Shark involvement not confirmed,1977
USA,California,"Off San Diego, San Diego County",40' fishing boat sank,21,N,,1977
USA,Florida,"12 miles northeast of Mayport,  Duval County",Spearfishing / Scuba diving,27,N,"Bull shark, 8",1977
USA,Texas,Padre Island,Collecting fish from net,25,N,"Bull shark, 4' to 5' ",1977
SOUTH AFRICA,Western Cape Province,13 km off Knysna ,Fishing for yellowtail,,N,"Mako shark, 2.3 m, 150-kg  ",1977
USA,Hawaii,"Ka'anapali, Maui",Swimming,,N,1.2 m [4'] shark,1977
SOUTH AFRICA,Western Cape Province,"Lappiesbaai Beach, Stilbaai",Swimming,31,N,,1977
AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",32,N,,1977
AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",74 ,Y,,1977
AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",45 ,Y,,1977
AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads","Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",24,N,4 m [13'] shark,1977
USA,California,"San Miguel Island, Santa Barbara County",Hookah diving for abalone (submerged),29,N,"White shark, 5.5 m [18'] ",1976
SOUTH AFRICA,Western Cape Province,Clifton,"Thrashing the water / imitating the shark victim from ""Jaws""",19,N,"White shark, 3 m [10'] k",1976
USA,Florida,"Delray Beach, Palm Beach County",Surfing,19,N,2.1 m [7'] lemon shark or bull shark,1976
SOUTH AFRICA,KwaZulu-Natal,Warner Beach,Swimming,17,U,Questionable incident,1976
SOUTH AFRICA,Western Cape Province,Macassar,Fishing for white shark,,N,"White shark, 4.8 m ",1976
SOUTH AFRICA,Western Cape Province,Gordons Bay,Boat,,N,White shark,1976
USA,California,"Moonstone Beach, Humboldt County",Surfing,25,N,"White shark, 3 m to 4 m [10' to 13'] ",1976
SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,20,N,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",1976
AUSTRALIA,South Australia,"Point Lowly, north of Whyalla","Skindiving,",27,N,2.7 m  [9'] shark,1976
USA,Florida,"Jacksonville, Duval County",Swimming,16,Y,,1976
USA,Florida,"Sebastian, Indian River County",Surfing,15,N,"Tiger shark, 6' ",1976
USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County","Surfing, fell off surfboard",23,N,,1976
USA,Oregon,Winchester Bay,Surfing,19,N,"White shark, 4.5 m ",1976
USA,Florida,St. Lucie County,Spearfishing,24,N,,1976
USA,Louisiana,Scofield - Sandy Point,Playing,10,N,,1976
USA,Hawaii,"Maha'ulepu, Koloa, Kaua'i",Scuba diving,18,Y,,1976
USA,Florida,St. Lucie County,Spearfishing,23,N,6' to 8' shark,1976
USA,Florida,"St. Andrews State Park, Bay County",Skindiving,17,N,12' to 14' shark,1976
USA,Hawaii,"Kama'ole Beach, Park No. 1, Kihei, Maui",Swimming,,N,0.9 m to 1.5 m [3' to 5'] shark,1976
ITALY,Reggio Calabria Province,Bovalino,Fishing,46,N,"Blue shark, 2m ",1976
AUSTRALIA,Queensland,Off Stradbroke Island,Sitting in bow of her father's 5 m boat,,N,1.5 m [5'] shark,1976
SOUTH AFRICA,Western Cape Province,40 km off Cape Point,Competing in a light tackle game fishing,,N,"Mako shark, 180-kg [397-lb]",1976
USA,Florida,"New Smyrna Beach, Volusia County",Standing,21 or 26,N,,1976
SOUTH AFRICA,Western Cape Province,Robberg Point,Fishing,,N,Whale shark,1976
SOUTH AFRICA,Western Cape Province,False Bay,Shark watching,,N,2.5 m [8.25'] white shark,1976
SOUTH AFRICA,Western Cape Province,Hartenbos,Shark fishing,,N,4 m [13'] shark,1976
SOUTH AFRICA,Western Cape Province,Kalk Bay,Fishing for snoek & yellowtail,,N,"White shark, 3 m [10'] ",1976
USA,Florida,"Off Fort Pierce, St Lucie County",Spearfishing / scuba diving,25,N,6' shark,1976
NEW ZEALAND,North Island,"Te Kaha, East coast",Spearfishing,,Y,Bronze whaler shark,1976
AUSTRALIA,South Australia,Glenelg,Attempting to drive shark away from the beach,,N,2.4 m [8'] shark,1975
USA,California,Farallon Islands,Scuba diving & spearfishing,27,N,White shark,1975
AUSTRALIA,New South Wales,"Porpoise Pool, Tweed Heads",Filming & feeding captive sharks,35,N,"Grey nurse shark, 10' ",1975
AUSTRALIA,New South Wales,"Queenscliff, Sydney",Standing,20,N,5' shark,1975
SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Standing,33,N,Juvenile dusky shark,1975
USA,Florida,"Crescent Beach, St. Johns County",Surfing,18,N,6' shark,1975
AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,20,N,Bronze whaler,1975
SOUTH AFRICA,KwaZulu-Natal,Richards Bay,Paddleskiing,21,N,1.2 m [4'] shark,1975
SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,19,N,"White shark, 2.4 m [8']",1975
USA,Florida,"Daytona Beach, Volusia County",Floating on a small orange raft ,20,N,1.5 m [5'] shark,1975
USA,California,"Usal Creek, Bear Harbor, Mendocino County",Free diving for abalone,44,N,White shark,1975
AUSTRALIA,Tasmania,"Fluted Cape, Bruny Island",Scuba diving for abalone,37,Y,White shark,1975
USA,Florida,"Off Hutchinson Island, St Lucie County",Free diving,24,N,,1975
AUSTRALIA,Queensland,Maroochydore,Surfing,21,N,12' shark,1975
USA,California,"Perch Rock, Point Conception, Santa Barbara County",Scuba diving for abalone (at surface),23,N,"White shark, 5.8 m [19'] ",1975
USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,34,N,"White shark, 5m to 6m",1975
USA,Florida,"New Smyrna Beach, Volusia County",Swimming,14,N,1.2 m [4'] shark,1975
AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",Spearfishing,29,N,2.4 m [8'] whaler shark,1975
USA,Florida,"Indiatlantic, Brevard County",Surfing,16,N,,1975
USA,South Carolina,"Windy Hill, near Myrtle Beach, Horry County",Swimming ,18,N,4' shark,1975
USA,South Carolina,"North Myrtle Beach, Horry County",Standing,15,N,,1975
USA,Alabama,5 miles off the coast,Swimming near his boat,27,N,,1975
USA,Florida,"Daytona Beach, Volusia County",Surfing,20,N,,1975
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,17,N,,1975
USA,Florida,"Daytona Beach, Volusia County",Bathing,10,N,,1975
ITALY,Genoa Province,Cervara,Scuba diving,37,U,Invalid,1975
SOUTH AFRICA,Western Cape Province,Millers Point,Spearfishing Competition,,N,"White shark, 600-kg [1323-lb]",1975
USA,Florida,"Clearwater Beach, Pinellas County",Floating in inner tube,14,N,10' shark,1975
AUSTRALIA,Queensland,Southport Aquarium,Diving & force-feeding the shark,18,N,"Bronze whaler shark, 6'",1975
SOUTH AFRICA,Western Cape Province,"Boggomsbaai, Mossel Bay",Attempting to drag hooked shark ashore by its tail,,N,1.5 m [5']  shark,1975
SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,16,N,1.5 m [5'] shark,1975
AUSTRALIA,South Australia,(Point Sinclair) Penong,Swimming underwater from crayfish cage to a fishing bait,12,Y,"White shark, 3 m [10'] ",1975
AUSTRALIA,Victoria,Anglesea,Crayfishing,45,N,"Carpet shark, 10' ",1975
SOUTH AFRICA,Western Cape Province,"Beespens, False Bay",Fishing,12,N,"Copper shark, 50-kg [110-b] ",1975
AUSTRALIA,South Australia,Coffin Bay,Surfing,17,Y,,1975
USA,Florida,"Daytona Beach, Volusia County",Standing,24,N,,1974
USA,California,"North of Point Sur, Monterey County",Surfing,17,N,"White shark, 5.5 m to 6 m [18' to 20'] ",1974
USA,California,"North Farallon Island, Farallon Islands",Hookah diving for abalone,29,N,"White shark, 4 m to 5 m ",1974
ISRAEL,Red Sea,"North Beach, Eilat",Swimming,20,N,"Shortfin mako shark, 2.3 m [7.5'] ",1974
USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),41,N,"White shark, 5 m to 6 m [16.5 to 20'] ",1974
USA,California,"Franklin Point, San Mateo County",Scuba diving (but on surface),48,N,"White shark, 5 m to 6 m [16.5 to 20'] ",1974
AUSTRALIA,Queensland,"Junpinpin, off Stradbroke Island",3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,30,N,,1974
USA,Oregon,Myers Creek,Surfing,24,N,"White shark, 4.5 m ",1974
CROATIA, Split-Dalmatia County," Lokva Rogoznica, Omis",,21,Y,"White shark, 5 m [16.5'] ",1974
USA,California,"San Gregorio Beach, San Mateo County",Surfing,,N,"White shark, 5 m ",1974
USA,California,"Albion Cove, Albion, Mendocino County",Free diving for abalone (submerged),36,N,"White shark, 5.5 m [18'] ",1974
USA,Georgia,"Back River, Savannah Beach, Chatham County",Swimming,17,Y,small sharks',1974
USA,Florida ,Gulf of Mexico,Adrift after the sinking of the motor yacht Princess Dianne,10,Y,3.7 m [12'] sharks,1974
USA,Florida,"New Smyrna Beach, Volusia County",Swimming,61,N,,1974
USA,California,"Tomales Point, Marin County",Free diving (but on surface),45,N,"White shark, 5 m [16.5']",1974
SOUTH AFRICA,Western Cape Province,Arniston,Spearfishing,22,N,"Raggedtooth shark, 1.5 m [5'] ",1974
SOUTH AFRICA,Eastern Cape Province,Glengariff,Standing,19,N,,1974
USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,11,N,,1974
SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Surfing,17,N,Juvenile dusky shark,1974
SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,21,N,1.8 m [6'] shark,1974
SOUTH AFRICA,Western Cape Province,Macassar,Fishing for kob,,N,White shark,1974
SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,14,N,,1974
SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,19,N,,1974
SOUTH AFRICA,Western Cape Province,Macassar,Fishing for red fish,,N,5 m white shark,1974
SOUTH AFRICA,Western Cape Province,Macassar,Fishing for kob,,N,White shark,1974
SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Sitting,42,N,"Raggedtooth shark, 1 m ",1974
AUSTRALIA,South Australia,Streaky Bay,Diving for abalone,26,Y,White shark,1974
SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,33,N,2 m to 2.5 m [6.75'  to 8.25'] shark,1974
MOZAMBIQUE,Gaza,Xai Xai,Swimming,32,Y,,1974
AUSTRALIA,Western Australia,Emu Channel,Spearfishing,,N,"Bronze whaler shark, 4' ",1974
MOZAMBIQUE,Gaza,Xai Xai,Spearfishing,41,N,,1973
MOZAMBIQUE,Gaza,Xai Xai,Swimming ,20 ,Y,,1973
MEXICO,Guerrero,Acapulco Bay,Swimming alongside yacht Mexico Fiesta,20s,Y,,1973
USA,Florida,"Ormond By The Sea, Volusia County",Surfing,13,N,,1973
BAHAMAS,Grand Bahama Island,"Memory Rock, 18 miles from NW end of the Island","Free diving, Spearfishing",11,N,7' to 8' bull shark,1973
MEXICO,Baja California,Guadalupe Island,"Free diving, Spearfishing",37,Y,White shark,1973
AUSTRALIA,Queensland,"Point Lookout, Stradbroke Island",Surfing,16,N,12' shark,1973
USA,Virginia,False Cape,Crabbing (spearing crabs),17,N,1.5 m to 1.8 m [5' to 6']  blacktip shark,1973
MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Wading,45,Y,,1973
MOZAMBIQUE,Gaza,"Chongeone, Xai Xai",Spearfishing,28,Y,,1973
SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,26,N,"2 m shark, possibly a dusky or blacktip shark",1973
MEXICO,Guerrero,"Revolcadero Beach, Acapulco",Swimming,57,Y,,1973
SOUTH AFRICA,KwaZulu-Natal,Durban,Fishing from paddleski,,N,1 m shark,1973
USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Surfing,,N,1.2 m to 1.8 m [4' to 6'] shark observed in area,1973
PALAU,Aulong Island,Aulong Channel,Scuba diving (submerged),,N,Tiger shark,1973
SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,13,N,,1973
SOUTH AFRICA,Western Cape Province,Millers Point,Treading water,29,N,,1972
