Country,Area,Location,Activity,Age,Fatal?,Species,Year
SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing ,59,N,Raggedtooth shark,2009
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,16,Y,,2009
AUSTRALIA,New South Wales,Blue Bay,Surfing,17,N,Bronze whaler shark?,2009
USA,Florida,"Ponce Inlet, Volusia County",Surfing,17,N,3' to 4' shark,2009
MALAYSIA,Strait of Malacca,Pulau Payar Island,Feeding fish,,N,Blacktip reef shark pup,2009
USA,Hawaii,Alenuihaha Channel,Swimming,61,N,Thought to involve a cookie cutter shark,2009
AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",Wading,21,N,"Wobbegong shark, 60cm",2009
NEW CALEDONIA,South Province,Bourail,Surfing,19,Y,,2009
SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,40,N,"Blue shark, 1m",2009
AUSTRALIA,New South Wales,Avalon,Surfing,15,N,2.6 m shark,2009
AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,33,N,"White shark, 2.5m ",2009
AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",31,N,"Bull shark, 2.7 m ",2009
AUSTRALIA,New South Wales,Cellito Beach,Surfing,41,N,"White shark, 12' ",2009
CUBA,Guantanamo Province,Guantanamo Bay,Spearfishing,15,N,Bull shark,2009
AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,19,N,,2009
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,25,Y,Tiger shark,2009
BRAZIL,Maranhão,Olho d'Água ,Swimming,17,U,Invalid,2009
AUSTRALIA,Victoria,Off Tower Hill,Fishing,,N,"White shark, 5.5 m ",2009
AUSTRALIA,New South Wales,"Windang,       Lake Illawara",Snorkeling,24,N,"Dusky shark, 2m",2009
AUSTRALIA,Tasmania,Binalong Bay,Surfing,13,N,"White shark, 5m",2009
AUSTRALIA,New South Wales,Fingal Beach,Surfing,31,N,"White shark, 3.5m",2009
NEW ZEALAND,North Island,Hawkes Bay,Fishing,,N,"Mako shark, 3m",2009
ECUADOR,Galapagos Islands,Isla Isabella,Surfing,22,N,,2009
NEW ZEALAND,North Island,Haumoana ,Swimming,49,N,Broadnose sevengill shark,2009
CUBA,Guantanamo Province,Guantanamo,Spearfishing,,N,Bull shark,2009
AUSTRALIA,Tasmania,near Schouten Island,Yacht race,,N,2 m shark,2008
AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,10,N,,2008
AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,29,N,"White shark, 4m to 5m ",2008
AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,51,Y,4 to 5m white shark,2008
USA,California,"Dillon Beach, Marin County",Kayaking,,N,White shark,2008
NEW ZEALAND,North Island,Maraetai,Fishing,,N,Bronze whaler shark?,2008
SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,15,N,"Raggedtooth shark, 2m",2008
AUSTRALIA,New South Wales,Mowarry Point,Fishing,,N,"White shark, 4.5 to 5 m ",2008
