Country,Fatal,Year
AUSTRALIA,N,2013
USA,N,2013
USA,N,2013
ECUADOR,N,2013
USA,U,2013
REUNION,Y,2013
USA,N,2013
AUSTRALIA,N,2013
MEXICO,N,2013
AUSTRALIA,N,2013
USA,N,2013
SOUTH AFRICA,N,2013
USA,N,2013
FRENCH POLYNESIA,N,2013
USA,N,2013
USA,N,2013
AUSTRALIA,U,2013
BAHAMAS,N,2013
SOUTH AFRICA,N,2013
JAMAICA,Y,2013
AUSTRALIA,N,2013
PHILIPPINES,N,2013
SOUTH AFRICA,N,2013
NEW ZEALAND,Y,2013
USA,N,2013
USA,N,2013
USA,N,2013
FRENCH POLYNESIA,N,2013
AUSTRALIA,N,2013
USA,N,2013
NEW ZEALAND,N,2013
AUSTRALIA,N,2013
AUSTRALIA,N,2012
AUSTRALIA,N,2012
SOUTH AFRICA,Y,2012
AUSTRALIA,N,2012
USA,N,2012
AUSTRALIA,N,2012
NEW ZEALAND,N,2012
USA,N,2012
MEXICO,Y,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,Y,2012
USA,N,2012
USA,N,2012
USA,N,2012
AUSTRALIA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
TONGA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
SCOTLAND,N,2012
AUSTRALIA,N,2012
BRAZIL,Y,2012
USA,N,2012
AUSTRALIA,N,2012
USA,N,2012
REUNION,N,2012
FRENCH POLYNESIA,N,2012
USA,N,2012
AUSTRALIA,N,2012
USA,N,2012
USA,N,2012
CANADA,U,2012
AUSTRALIA,Y,2012
USA,N,2012
USA,N,2012
SOUTH AFRICA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
AUSTRALIA,N,2012
USA,U,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
AUSTRALIA,N,2012
ITALY,U,2012
AUSTRALIA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
MEXICO,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
SOUTH AFRICA,Y,2012
AUSTRALIA,N,2012
USA,N,2012
AUSTRALIA,Y,2012
USA,N,2012
AUSTRALIA,N,2012
